Player Name,goals
DAVID VILLA,7
RAUL,5
MORIENTES,5
Estanislao BASORA,4
ZARRA,4
Emilio BUTRAGUENO,4
JULIO SALINAS,3
Jose Luis CAMINERO,3
MICHEL,3
Ramon Maria CALDERE,2
LUIS ENRIQUE,2
F. TORRES,2
A.INIESTA,2
GOIKOETXEA,2
R. HIERRO,2
Silvestre IGOA,2
Jesus ZAMORA,1
JUANITO,1
KIKO,1
LUIS REGUEIRO,1
MATA,1
Juan Manuel ASENSI,1
Joaquin PEIRO,1
VALERON,1
TORRES,1
Juan Antonio SENOR,1
Jose Maria FUSTE,1
MENDIETA,1
PIRRI,1
Manuel SANCHIS,1
PUYOL,1
ELOY,1
DANI,1
Enrique SAURA,1
AMANCIO,1
ALONSO,1
Alberto GORRIZ,1
Isidro LANGARA,1
ADELARDO,1
IRARAGORRI,1
ARANZABAL,0
AZPILICUETA,0
ARBELOA,0
Alfredo DI STEFANO,0
Andoni ZUBIZARRETA,0
Antonio BETANCOURT,0
Alfonso SILVA,0
CRISANTO BOSCH,0
CONTRERAS,0
CIRIACO,0
CILAURREN,0
CHENDO,0
CHACHO,0
CESC,0
CESAR,0
CELADES,0
CA�IZARES,0
DIEGO COSTA,0
D. TRISTAN,0
ETXEBERR�A,0
DE PEDRO,0
DE GEA,0
Carlos LAPETRA,0
Enrique COLLAR,0
Eugenio LEAL,0
Eulogio MARTINEZ,0
FABREGAS,0
FEDE,0
FERNANDO,0
FERRER,0
FRANCISCO,0
Feliciano RIVILLA,0
Felipe MINAMBRES,0
Ferenc PUSKAS,0
Fernando HIERRO,0
Fernando OLIVELLA,0
ELADIO,0
ECHEBERRIA,0
Carles REXACH,0
Francisco URIA,0
Francisco GENTO,0
Francisco CARRASCO,0
Francisco URRUTICOECHEA,0
GAINZA,0
GALLEGO,0
F�BREGAS,0
Antonio BIOSCA,0
Antonio DE LA CRUZ,0
Antonio GUZMAN,0
Antonio MACEDA,0
Antonio OLMO,0
Antonio PUCHADES,0
Antonio RAMALLETS,0
Armando UFARTE,0
BARAJA,0
C. MARCHENA,0
C. TORRES,0
C.MARCHENA,0
CAPDEVILA,0
CARMELO,0
CASILLAS,0
A. LOPEZ,0
ABELARDO,0
ALBELDA,0
AGUILERA,0
ALKORTA M.,0
ALFONSO,0
AMOR,0
ANDRINUA,0
ANTUNEZ,0
A. INIESTA,0
JORDI ALBA,0
JOAQUIN,0
JAVI MART�NEZ,0
J.NAVAS,0
J.MARTINEZ,0
J. GUERRERO,0
Isidoro SAN JOSE,0
Ignacio ZOCO,0
I QUINCOCES,0
Ignacio EIZAGUIRRE,0
I. HELGUERA,0
I. CASILLAS,0
I Guillermo CAMPANAL,0
I. CAMPO,0
HILARIO,0
Hipolito RINCON,0
GABRIEL ALONSO,0
GARAY,0
HIERRO,0
GRACIA,0
GOROSTIZA,0
GONZALVO III,0
GONZALVO II,0
GOIKO,0
Francisco VILLARROYA,0
Jose Antonio CAMACHO,0
Jose CAMARASA,0
Jose ALEXANKO,0
Jose MUGUERZA,0
Jose Maria BAKERO,0
Jose ARAQUISTAIN,0
Jesus SATRUSTEGUI,0
Juan NOGUES,0
Juan Carlos ABLANEDO,0
Jose SANTAMARIA,0
Juan ACUNA,0
Jose SANCHEZ,0
Jose PARRA,0
Jose OCHOTORENA,0
Julen LOPETEGUI,0
LOPEZ UFARTE,0
LLORENTE,0
LUIS GARCIA,0
LUIS MARIN,0
LAFUENTE,0
LESMES II,0
Julio CARDENOSA,0
KOKE,0
Luis MOLOWNY,0
Luis DEL SOL,0
Luis ARCONADA,0
LUQUE,0
Luis SUAREZ,0
M. PERNIA,0
Jose JUNCOSA,0
Jose IRIBAR,0
Jose PANIZO,0
Joan SEGARRA,0
Joaquin ALONSO,0
Jorge OTERO,0
JULIO ALBERTO,0
JUANFRAN,0
Jesus GLARIA,0
JUANELE,0
Manuel JIMENEZ,0
MOLINA,0
MIGUELI,0
MIGUEL ANGEL,0
MARANON,0
MARCELINO,0
MARCULETA,0
MARTIN VAZQUEZ,0
MANOLO,0
M. SALGADO,0
NANDO,0
Miguel TENDILLO,0
NADAL,0
Miguel REINA,0
Miguel PARDEZA,0
Martin VENTOLRA,0
PIZZI,0
PIQU�,0
QUINI,0
Pedro URALDE,0
QUIQUE,0
QUIQUE SETIEN,0
R. ALBIOL,0
Pep GUARDIOLA,0
R.ALBIOL,0
RAFA PAZ,0
RAMOS,0
PABLO,0
PEDRO,0
PACHIN,0
Martin VERGES,0
Miguel ALONSO,0
RODRI,0
ROBERTO,0
RICARDO,0
REYES,0
REINA,0
ROMERO,0
RUBEN CANO,0
ROSENDO HERNANDEZ,0
SANTILLANA,0
SENNA,0
SERGI,0
SERGIO,0
Rafael GORDILLO,0
Ricardo GALLEGO,0
Ricardo ZAMORA,0
S. CAZORLA,0
Salvador SADURNI,0
SOLE,0
SILVA,0
SERGIO RAMOS,0
Simon LECUE,0
TOMAS,0
Severino REIJA,0
Santiago URQUIAGA,0
V.VALDES,0
Txiki BEGUIRISTAIN,0
VORO,0
VICTOR,0
Vicente ASENSI,0
XAVI,0
ZABALO,0
ZUBIZARRETA,0
