Team Initials;goals;total_cards;matches;goals_per_match;card_per_match
ALG;12;22;13;0,9230769230769231;1,6923076923076923
ANG;1;13;3;0,3333333333333333;4,333333333333333
ARG;121;123;77;1,5714285714285714;1,5974025974025974
AUS;9;31;13;0,6923076923076923;2,3846153846153846
AUT;38;24;29;1,3103448275862069;0,8275862068965517
BEL;49;42;41;1,1951219512195121;1,024390243902439
BIH;4;3;3;1,3333333333333333;1,0
BOL;1;11;6;0,16666666666666666;1,8333333333333333
BRA;210;111;104;2,019230769230769;1,0673076923076923
BUL;18;45;26;0,6923076923076923;1,7307692307692308
CAN;0;3;3;0,0;1,0
CHI;36;49;33;1,0909090909090908;1,4848484848484849
CHN;0;6;3;0,0;2,0
CIV;11;23;9;1,2222222222222223;2,5555555555555554
CMR;16;57;23;0,6956521739130435;2,4782608695652173
COL;23;22;18;1,2777777777777777;1,2222222222222223
CRC;17;34;15;1,1333333333333333;2,2666666666666666
CRO;19;43;16;1,1875;2,6875
CUB;5;0;3;1,6666666666666667;0,0
CZE;3;10;3;1,0;3,3333333333333335
DEN;23;34;16;1,4375;2,125
ECU;10;24;10;1,0;2,4
EGY;2;4;4;0,5;1,0
ENG;69;54;62;1,1129032258064515;0,8709677419354839
ESP;76;65;59;1,2881355932203389;1,1016949152542372
FRA;92;65;59;1,5593220338983051;1,1016949152542372
GDR;4;10;6;0,6666666666666666;1,6666666666666667
GER;209;123;106;1,971698113207547;1,1603773584905661
GHA;10;37;12;0,8333333333333334;3,0833333333333335
GRE;4;23;10;0,4;2,3
HAI;2;3;3;0,6666666666666666;1,0
HON;3;18;9;0,3333333333333333;2,0
HUN;81;11;32;2,53125;0,34375
INH;0;0;1;0,0;0,0
IRL;9;16;13;0,6923076923076923;1,2307692307692308
IRN;7;18;12;0,5833333333333334;1,5
IRQ;1;12;3;0,3333333333333333;4,0
ISR;1;4;3;0,3333333333333333;1,3333333333333333
ITA;116;101;83;1,3975903614457832;1,216867469879518
JAM;3;8;3;1,0;2,6666666666666665
JPN;14;31;17;0,8235294117647058;1,8235294117647058
KOR;31;63;31;1,0;2,032258064516129
KSA;6;23;13;0,46153846153846156;1,7692307692307692
KUW;2;3;3;0,6666666666666666;1,0
MAR;12;19;13;0,9230769230769231;1,4615384615384615
MEX;48;80;53;0,9056603773584906;1,509433962264151
NED;75;109;50;1,5;2,18
NGA;18;28;18;1,0;1,5555555555555556
NIR;13;10;13;1,0;0,7692307692307693
NOR;5;13;8;0,625;1,625
NZL;4;6;6;0,6666666666666666;1,0
PAR;27;44;27;1,0;1,6296296296296295
PER;17;10;15;1,1333333333333333;0,6666666666666666
POL;42;44;31;1,3548387096774193;1,4193548387096775
POR;34;55;26;1,3076923076923077;2,1153846153846154
PRK;6;2;7;0,8571428571428571;0,2857142857142857
ROU;28;33;21;1,3333333333333333;1,5714285714285714
RSA;9;23;9;1,0;2,5555555555555554
RUS;10;24;9;1,1111111111111112;2,6666666666666665
SCG;2;15;3;0,6666666666666666;5,0
SCO;21;18;23;0,9130434782608695;0,782608695652174
SEN;6;15;5;1,2;3,0
SLV;1;9;6;0,16666666666666666;1,5
SRB;2;12;3;0,6666666666666666;4,0
SUI;45;32;33;1,3636363636363635;0,9696969696969697
SVK;4;11;4;1,0;2,75
SVN;5;20;6;0,8333333333333334;3,3333333333333335
SWE;70;47;46;1,5217391304347827;1,0217391304347827
TCH;37;22;30;1,2333333333333334;0,7333333333333333
TOG;1;12;3;0,3333333333333333;4,0
TRI;0;12;3;0,0;4,0
TUN;7;32;12;0,5833333333333334;2,6666666666666665
TUR;20;22;10;2,0;2,2
UAE;2;9;3;0,6666666666666666;3,0
UKR;4;13;5;0,8;2,6
URS;50;20;31;1,6129032258064515;0,6451612903225806
URU;76;72;51;1,4901960784313726;1,411764705882353
USA;32;58;33;0,9696969696969697;1,7575757575757576
WAL;4;0;5;0,8;0,0
YUG;58;30;37;1,5675675675675675;0,8108108108108109
ZAI;0;3;3;0,0;1,0
